wallet,score,total_tx,deposit_count,borrow_count,repay_count,liquidation_count,borrow_to_deposit,repay_to_borrow,active_days,avg_usd_deposit,avg_usd_borrow
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,500,1,1,0,0,0,0.0,0.0,0.0,2.6044090290244564e+16,0.0
0x00246f7813397868b1beec56e1677efa47816dae,311,44,30,9,2,0,0.2903225806451613,0.2,21.02681712962963,2.4796595772915686e+23,6.462554937181344e+23
0x0025a856d01a898bd52286d56c52323b13937b65,500,1,1,0,0,0,0.0,0.0,0.0,1.422024974218183e+17,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,496,2,1,1,0,0,0.5,0.0,0.0,3.2239917783138004e+16,4713438272388597.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,499,10,4,3,1,0,0.6,0.25,3.7604166666666665,25354918.40400028,19080952.70262626
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,500,1,1,0,0,0,0.0,0.0,0.0,1.6209142428199926e+17,0.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,500,1,1,0,0,0,0.0,0.0,0.0,1862989.298047552,0.0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,500,1,1,0,0,0,0.0,0.0,0.0,2.045908664031135e+17,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,509,30,17,7,5,0,0.3888888888888889,0.625,20.264166666666668,4.811179044515386e+18,9.788990895973726e+18
0x0027c6cd01364a3c5d29f72269b36dfe85628193,500,1,1,0,0,0,0.0,0.0,0.0,1886450.9259060726,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,501,13,6,2,2,0,0.2857142857142857,0.6666666666666666,1.3520833333333333,1.0776475078228509e+20,784338183.1210552
0x00283b611db7844cb5677b311afd67c8e3078518,500,1,1,0,0,0,0.0,0.0,0.0,7201520.673920151,0.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,500,1,1,0,0,0,0.0,0.0,0.0,3.737532010034612e+16,0.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,501,2,2,0,0,0,0.0,0.0,3.714583333333333,1.0617454774932165e+18,0.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,500,1,1,0,0,0,0.0,0.0,0.0,1105875.5718750977,0.0
